RegionName,State,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018
Muncie,IN,2-Bedroom,0,0,0,0,0,0,0,573,625
Valdosta,GA,2-Bedroom,0,614,649,594,561,545,541,577,606
Plantation,FL,2-Bedroom,0,1221,1280,1340,1348,1434,1540,1563,1591
Lithonia,GA,2-Bedroom,0,0,0,0,0,0,0,873,869
Kalamazoo,MI,2-Bedroom,0,0,0,0,0,0,0,769,746
Cheyenne,WY,2-Bedroom,0,0,0,0,0,0,785,748,758
Lynchburg,VA,2-Bedroom,0,0,0,0,0,0,0,720,701
Terre Haute,IN,2-Bedroom,0,0,0,0,0,0,0,685,681
Livermore,CA,2-Bedroom,0,0,0,0,0,0,0,2204,2280
Bryan,TX,2-Bedroom,0,0,0,0,0,0,0,788,748
Duluth,MN,2-Bedroom,0,0,0,0,0,0,0,916,903
Sunrise,FL,2-Bedroom,0,1198,1194,1224,1266,1345,1472,1536,1609
Orem,UT,2-Bedroom,0,0,0,0,0,0,0,1122,1149
Miami Beach,FL,2-Bedroom,3011,2683,2825,2929,2841,2935,2934,2809,2970
Fall River,MA,2-Bedroom,0,0,0,0,0,0,0,949,921
Allen,TX,2-Bedroom,0,0,0,0,0,0,0,1546,1572
Franklin,TN,2-Bedroom,0,0,0,0,0,0,0,1658,1621
Herndon,VA,2-Bedroom,0,0,1700,1842,1739,1711,1721,1763,1853
Midlothian,VA,2-Bedroom,0,0,0,0,0,0,0,1209,1247
